# KO configuration for ko_detector
# generated from: chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv
# Rows with an empty 'ko' are not searched; enter a KO to enable them.
ko	role	functional_group	substrate	gene_enzyme	priority	detectable_via_kegg	recommended_tool	caveats	ko_text	source
K02274	acceptor	Aerobic respiration	O2	coxABC (aa3-type, low affinity)	Essential	Yes		The standard terminal oxidase. Its presence alone does not indicate a microaerobic lifestyle.	K02274-K02276	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:2
K02275	acceptor	Aerobic respiration	O2	coxABC (aa3-type, low affinity)	Essential	Yes		The standard terminal oxidase. Its presence alone does not indicate a microaerobic lifestyle.	K02274-K02276	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:2
K02276	acceptor	Aerobic respiration	O2	coxABC (aa3-type, low affinity)	Essential	Yes		The standard terminal oxidase. Its presence alone does not indicate a microaerobic lifestyle.	K02274-K02276	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:2
K00404	acceptor	Aerobic respiration	O2	ccoNOQP (cbb3-type, high affinity)	Essential (microaerobes)	Yes		Strong signal of a microaerobic niche. Expected in circumneutral FeOB, Aquificota and Campylobacterota, which cannot tolerate full aeration.	K00404-K00406	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:3
K00405	acceptor	Aerobic respiration	O2	ccoNOQP (cbb3-type, high affinity)	Essential (microaerobes)	Yes		Strong signal of a microaerobic niche. Expected in circumneutral FeOB, Aquificota and Campylobacterota, which cannot tolerate full aeration.	K00404-K00406	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:3
K00406	acceptor	Aerobic respiration	O2	ccoNOQP (cbb3-type, high affinity)	Essential (microaerobes)	Yes		Strong signal of a microaerobic niche. Expected in circumneutral FeOB, Aquificota and Campylobacterota, which cannot tolerate full aeration.	K00404-K00406	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:3
K00425	acceptor	Aerobic respiration	O2	cydAB (bd-type, high affinity)	Essential (microaerobes)	Yes		The other high-affinity oxidase; often present alongside cbb3. Also functions in oxidative stress defence, so presence alone is not proof of a microaerobic lifestyle.	K00425, K00426	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:4
K00426	acceptor	Aerobic respiration	O2	cydAB (bd-type, high affinity)	Essential (microaerobes)	Yes		The other high-affinity oxidase; often present alongside cbb3. Also functions in oxidative stress defence, so presence alone is not proof of a microaerobic lifestyle.	K00425, K00426	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:4
K10944	acceptor	Aerobic respiration	O2 (as co-substrate)	amoABC, pmoABC, mmoX, aerobic coxLMS	Supporting	Yes		In monooxygenase systems O2 is incorporated into the substrate, so it is a substrate before it is a terminal acceptor. When these are present, the regime is aerobic even if the paper states no acceptor.	K10944-K10946, K16157, K03520	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:5
K10945	acceptor	Aerobic respiration	O2 (as co-substrate)	amoABC, pmoABC, mmoX, aerobic coxLMS	Supporting	Yes		In monooxygenase systems O2 is incorporated into the substrate, so it is a substrate before it is a terminal acceptor. When these are present, the regime is aerobic even if the paper states no acceptor.	K10944-K10946, K16157, K03520	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:5
K10946	acceptor	Aerobic respiration	O2 (as co-substrate)	amoABC, pmoABC, mmoX, aerobic coxLMS	Supporting	Yes		In monooxygenase systems O2 is incorporated into the substrate, so it is a substrate before it is a terminal acceptor. When these are present, the regime is aerobic even if the paper states no acceptor.	K10944-K10946, K16157, K03520	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:5
K16157	acceptor	Aerobic respiration	O2 (as co-substrate)	amoABC, pmoABC, mmoX, aerobic coxLMS	Supporting	Yes		In monooxygenase systems O2 is incorporated into the substrate, so it is a substrate before it is a terminal acceptor. When these are present, the regime is aerobic even if the paper states no acceptor.	K10944-K10946, K16157, K03520	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:5
K03520	acceptor	Aerobic respiration	O2 (as co-substrate)	amoABC, pmoABC, mmoX, aerobic coxLMS	Supporting	Yes		In monooxygenase systems O2 is incorporated into the substrate, so it is a substrate before it is a terminal acceptor. When these are present, the regime is aerobic even if the paper states no acceptor.	K10944-K10946, K16157, K03520	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:5
K00370	acceptor	Nitrate-reducing (denitrifiers)	NO3-	narGHJI (cytoplasmic face)	Essential	Yes	Phylogenetic placement required	Most important degeneracy: shares K00370/K00371 with nxrAB (nitrite oxidation, the reverse reaction). Resolve by localisation signal (Tat), subunit composition and phylogenetic placement.	K00370-K00374	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:6
K00371	acceptor	Nitrate-reducing (denitrifiers)	NO3-	narGHJI (cytoplasmic face)	Essential	Yes	Phylogenetic placement required	Most important degeneracy: shares K00370/K00371 with nxrAB (nitrite oxidation, the reverse reaction). Resolve by localisation signal (Tat), subunit composition and phylogenetic placement.	K00370-K00374	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:6
K00372	acceptor	Nitrate-reducing (denitrifiers)	NO3-	narGHJI (cytoplasmic face)	Essential	Yes	Phylogenetic placement required	Most important degeneracy: shares K00370/K00371 with nxrAB (nitrite oxidation, the reverse reaction). Resolve by localisation signal (Tat), subunit composition and phylogenetic placement.	K00370-K00374	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:6
K00373	acceptor	Nitrate-reducing (denitrifiers)	NO3-	narGHJI (cytoplasmic face)	Essential	Yes	Phylogenetic placement required	Most important degeneracy: shares K00370/K00371 with nxrAB (nitrite oxidation, the reverse reaction). Resolve by localisation signal (Tat), subunit composition and phylogenetic placement.	K00370-K00374	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:6
K00374	acceptor	Nitrate-reducing (denitrifiers)	NO3-	narGHJI (cytoplasmic face)	Essential	Yes	Phylogenetic placement required	Most important degeneracy: shares K00370/K00371 with nxrAB (nitrite oxidation, the reverse reaction). Resolve by localisation signal (Tat), subunit composition and phylogenetic placement.	K00370-K00374	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:6
K02567	acceptor	Nitrate-reducing (denitrifiers)	NO3-	napAB (periplasmic face)	Alternative	Yes		Periplasmic nitrate reductase; not degenerate with nxrAB, so its presence is cleaner evidence for the reductive direction.	K02567, K02568	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:7
K02568	acceptor	Nitrate-reducing (denitrifiers)	NO3-	napAB (periplasmic face)	Alternative	Yes		Periplasmic nitrate reductase; not degenerate with nxrAB, so its presence is cleaner evidence for the reductive direction.	K02567, K02568	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:7
K00368	acceptor	Nitrate-reducing (denitrifiers)	NO2-	nirK (Cu-type) / nirS (cd1-type)	Essential	Yes		The committed step of denitrification. The two types are functionally equivalent and mutually exclusive in most genomes, so screen for both.	K00368 / K15864	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:8
K15864	acceptor	Nitrate-reducing (denitrifiers)	NO2-	nirK (Cu-type) / nirS (cd1-type)	Essential	Yes		The committed step of denitrification. The two types are functionally equivalent and mutually exclusive in most genomes, so screen for both.	K00368 / K15864	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:8
K04561	acceptor	Nitrate-reducing (denitrifiers)	NO	norBC	Essential	Yes		Reduces NO to N2O. Absence with nirK/nirS present implies NO toxicity and is worth checking.	K04561, K02305	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:9
K02305	acceptor	Nitrate-reducing (denitrifiers)	NO	norBC	Essential	Yes		Reduces NO to N2O. Absence with nirK/nirS present implies NO toxicity and is worth checking.	K04561, K02305	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:9
K00376	acceptor	Nitrate-reducing (denitrifiers)	N2O	nosZ	Essential (end-product call)	Yes		Presence means denitrification runs to N2; absence means it stops at N2O. Strains with the same donor-acceptor pair differ in this gene, so never borrow it from another strain of the same species. N2O is a potent greenhouse gas, making this an ecologically important trait.	K00376	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:10
K03385	acceptor	Nitrate-reducing (DNRA)	NO2-	nrfAH (periplasmic), nirBD (cytoplasmic)	Alternative	Yes		Dissimilatory reduction of nitrite to ammonium, a branch point competing with denitrification. nrfA presence with nosZ absence distinguishes DNRA from truncated denitrification.	K03385, K15876 / K00362, K00363	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:11
K15876	acceptor	Nitrate-reducing (DNRA)	NO2-	nrfAH (periplasmic), nirBD (cytoplasmic)	Alternative	Yes		Dissimilatory reduction of nitrite to ammonium, a branch point competing with denitrification. nrfA presence with nosZ absence distinguishes DNRA from truncated denitrification.	K03385, K15876 / K00362, K00363	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:11
K00362	acceptor	Nitrate-reducing (DNRA)	NO2-	nrfAH (periplasmic), nirBD (cytoplasmic)	Alternative	Yes		Dissimilatory reduction of nitrite to ammonium, a branch point competing with denitrification. nrfA presence with nosZ absence distinguishes DNRA from truncated denitrification.	K03385, K15876 / K00362, K00363	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:11
K00363	acceptor	Nitrate-reducing (DNRA)	NO2-	nrfAH (periplasmic), nirBD (cytoplasmic)	Alternative	Yes		Dissimilatory reduction of nitrite to ammonium, a branch point competing with denitrification. nrfA presence with nosZ absence distinguishes DNRA from truncated denitrification.	K03385, K15876 / K00362, K00363	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:11
K20932	acceptor	Anammox	NO2-	hzsABC (hydrazine synthase)	Essential	Yes		Diagnostic for anammox and found nowhere else. NH4+ is the donor, making this the one set where both partners are nitrogen species.	K20932-K20935	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:12
K20933	acceptor	Anammox	NO2-	hzsABC (hydrazine synthase)	Essential	Yes		Diagnostic for anammox and found nowhere else. NH4+ is the donor, making this the one set where both partners are nitrogen species.	K20932-K20935	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:12
K20934	acceptor	Anammox	NO2-	hzsABC (hydrazine synthase)	Essential	Yes		Diagnostic for anammox and found nowhere else. NH4+ is the donor, making this the one set where both partners are nitrogen species.	K20932-K20935	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:12
K20935	acceptor	Anammox	NO2-	hzsABC (hydrazine synthase)	Essential	Yes		Diagnostic for anammox and found nowhere else. NH4+ is the donor, making this the one set where both partners are nitrogen species.	K20932-K20935	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:12
	acceptor	Anammox	NO2-	hdh (hydrazine dehydrogenase)	Essential	Partial		Oxidises hydrazine to N2. Related to hao (K10535) in sequence, so check the taxonomy (Planctomycetota) as well.	Limited KEGG coverage	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:13
K00958	acceptor	Sulfate-reducing (SRB)	SO4 2-	sat (ATP sulfurylase)	Essential	Yes		Activates sulfate to APS. Shared with sulfur oxidisers running the pathway in reverse (directional degeneracy).	K00958	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:14
K00394	acceptor	Sulfate-reducing (SRB)	SO4 2-	aprAB (APS reductase)	Essential	Yes	Phylogenetic placement required	Shared with sulfur oxidisers. The partner complex distinguishes direction: QmoABC in reducers, AprM in oxidisers.	K00394, K00395	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:15
K00395	acceptor	Sulfate-reducing (SRB)	SO4 2-	aprAB (APS reductase)	Essential	Yes	Phylogenetic placement required	Shared with sulfur oxidisers. The partner complex distinguishes direction: QmoABC in reducers, AprM in oxidisers.	K00394, K00395	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:15
K11180	acceptor	Sulfate-reducing (SRB)	SO3 2-	dsrAB (reductive type)	Essential	Yes	Phylogenetic placement required	Most important degeneracy: identical KOs to the reverse-acting rDsr of sulfur oxidisers. Resolve by (1) placement in a dsrAB reference tree, (2) absence of dsrEFH (retained only in the oxidative direction), (3) QmoABC vs AprM. Note that an explicit statement of obligate anaeroby in the literature settles the direction without sequence work.	K11180, K11181	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:16
K11181	acceptor	Sulfate-reducing (SRB)	SO3 2-	dsrAB (reductive type)	Essential	Yes	Phylogenetic placement required	Most important degeneracy: identical KOs to the reverse-acting rDsr of sulfur oxidisers. Resolve by (1) placement in a dsrAB reference tree, (2) absence of dsrEFH (retained only in the oxidative direction), (3) QmoABC vs AprM. Note that an explicit statement of obligate anaeroby in the literature settles the direction without sequence work.	K11180, K11181	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:16
	acceptor	Sulfate-reducing (SRB)	SO3 2-	dsrMKJOP (membrane complex)	Supporting	Difficult		Couples DsrAB to the membrane. Its presence supports a genuinely respiratory (dissimilatory) pathway rather than assimilatory sulfate reduction.	Poor KEGG coverage	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:17
	acceptor	Sulfate-reducing (SRB)	SO4 2-	qmoABC	Essential (direction call)	Difficult		Present in the reductive direction; the oxidative direction uses AprM instead. One of the three criteria for calling dsrAB direction.	Poor KEGG coverage	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:18
K16950	acceptor	Sulfate-reducing (SRB)	SO3 2-	asrABC (anaerobic sulfite reductase)	Alternative	Yes		A route to sulfide independent of DsrAB, found in some organisms that reduce sulfite but not sulfate.	K16950-K16952	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:19
K16951	acceptor	Sulfate-reducing (SRB)	SO3 2-	asrABC (anaerobic sulfite reductase)	Alternative	Yes		A route to sulfide independent of DsrAB, found in some organisms that reduce sulfite but not sulfate.	K16950-K16952	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:19
K16952	acceptor	Sulfate-reducing (SRB)	SO3 2-	asrABC (anaerobic sulfite reductase)	Alternative	Yes		A route to sulfide independent of DsrAB, found in some organisms that reduce sulfite but not sulfate.	K16950-K16952	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:19
	acceptor	Sulfate-reducing (SRB)	S2O3 2-	phsABC (thiosulfate reductase)	Supporting	Difficult		Most sulfate reducers use thiosulfate as a secondary acceptor. Hard to separate from polysulfide reductase by KO alone. Remember that the same compound is a donor in aerobic sulfur oxidisers.	Closely related to psrABC (K08352); poor KO resolution	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:20
