Functional group	Electron donor	Gene / enzyme	KO	Priority	Detectable via KEGG	Degeneracy and caveats	Recommended tool
Sulfur oxidizing (SOB)	HS-	sqr (sulfide:quinone oxidoreductase)	K17218	Essential	Yes	Main route for sulfide oxidation. On its own, oxidation stops at S0.	
Sulfur oxidizing (SOB)	HS-	fccAB (flavocytochrome c sulfide dehydrogenase)	K17229, K17230	Alternative	Yes	Alternative to sqr; some strains carry both.	
Sulfur oxidizing (SOB)	S2O3 2-	soxABXYZ (+soxCD)	K17222-K17227	Essential	Yes	A complete system (soxABCDXYZ) oxidises thiosulfate directly to sulfate without releasing S0. soxCD-deficient (K17225) strains accumulate extracellular S0, which can be cross-checked against wording such as "oxidation ... to sulfate" in the literature.	
Sulfur oxidizing (SOB)	S0	dsrAB (reverse-acting rDsr)	K11180, K11181	Essential	Yes	Most important degeneracy: sulfate reduction (reductive type) and sulfur oxidation (reverse rDsr) share the same KO. Resolve by (1) placement in a dsrAB reference tree, (2) presence of dsrEFH (oxidative direction only), (3) QmoABC (reductive) vs AprM (oxidative).	Phylogenetic placement required
Sulfur oxidizing (SOB)	S0	dsrEFH	Poor KEGG coverage	Essential (direction call)	Difficult	Retained only in the oxidative direction; the decisive evidence for calling dsrAB direction.	
Sulfur oxidizing (SOB)	SO3 2-	aprAB + sat	K00394, K00395, K00958	Supporting	Yes	Fully shared with sulfate reducers (degenerate). Apply the same criteria as for dsrAB.	
Sulfur oxidizing (SOB)	SO3 2-	soeABC, sorAB	Poor KEGG coverage	Supporting	Difficult	Direct sulfite oxidation; a route separate from aprAB+sat.	
Sulfur oxidizing (SOB)	S4O6 2- / S3O6 2-	tetH (tetrathionate hydrolase)	Poor KEGG coverage	Supporting	Difficult	Nearly indistinguishable in sequence from trithionate hydrolase; substrate specificity is hard to resolve even with an HMM. Polythionates are intermediates that feed into the sox or rDsr systems, so energetically they belong with thiosulfate.	
Sulfur oxidizing (SOB)	S2O3 2- (producing side)	tsdA (thiosulfate dehydrogenase)	K19713	Supporting	Yes	Produces tetrathionate from thiosulfate; doxDA acts similarly.	
Sulfur oxidizing (SOB)	SCN-	scnABC (route A), tcdA (route B)	Not in KEGG	Supporting	No	Requires a custom HMM. Nitrogen is released during degradation.	
Sulfur oxidizing (SOB)	SCN-	cynS (cyanate degradation)	K01725	Supporting	Yes	Downstream of route B. Strains carrying it may not need a separate nitrogen source, which matters for medium design.	
Ammonia oxidizing (AOB/AOA)	NH3 / NH4+	amoABC (ammonia monooxygenase)	K10944, K10945, K10946	Essential	Yes	Most important degeneracy: shares its KOs with pmoABC (methane monooxygenase). Resolve by sequence phylogeny, taxonomy, and presence of hao. Being a monooxygenase, O2 is a substrate itself, so the acceptor is aerobic even when the paper does not say so.	Phylogenetic placement required
Ammonia oxidizing (AOB/AOA)	NH3 / NH4+	hao (hydroxylamine oxidoreductase)	K10535	Essential (AOB vs AOA)	Yes	Present in AOB, absent in AOA. Decisive marker, and it tracks the CO2-fixation split (AOB = CBB, AOA = 3-HP/4-HB).	
Nitrite oxidizing (NOB)	NO2-	nxrAB (nitrite oxidoreductase)	K00370, K00371	Essential	Yes	Most important degeneracy: shares its KOs with narGH (nitrate reduction, the reverse reaction). Resolve by localisation signal (Tat), subunit composition, and phylogenetic placement; cytoplasmic vs periplasmic orientation varies by genus.	Phylogenetic placement required
Nitrite oxidizing (NOB)	NH3 (comammox check)	amoABC	K10944, K10945, K10946	Supporting	Yes	Nitrospira may carry both amo and nxr (comammox); always check.	
Hydrogen oxidizing	H2	[NiFe] hyaB, hybC	K06281, K05922	Essential	Yes	KOs do not distinguish uptake from evolving hydrogenases. Classify with HydDB or the group-specific HMMs in METABOLIC. Group 1 membrane-bound enzymes are the uptake type.	HydDB / METABOLIC
Hydrogen oxidizing	H2	[FeFe] hydA	K00532, K00533	Alternative	Yes	Common in anaerobes; direction again resolved with HydDB.	HydDB
Hydrogen oxidizing	H2	mvhADG, frhABG	Limited KEGG coverage	Supporting	Partial	F420-dependent and electron-bifurcating types in methanogenic archaea; form complexes with Hdr.	
Iron oxidizing (FeOB)	Fe(II)	cyc2 (outer-membrane cytochrome)	Poor KEGG coverage	Essential	No	Principal marker for neutrophilic FeOB (Gallionella, Mariprofundus). Not detectable via KEGG.	FeGenie required
Iron oxidizing (FeOB)	Fe(II)	mtoAB	Poor KEGG coverage	Alternative	No	Sideroxydans and relatives; highly similar to mtrAB.	FeGenie required
Iron oxidizing (FeOB)	Fe(II)	foxEYZ	Poor KEGG coverage	Alternative	No	Reported for photoferrotrophic iron oxidation; limited relevance to chemolithoautotrophy.	FeGenie required
Iron oxidizing (FeOB)	Fe(II)	rusticyanin, sulfocyanin, cyc1, coxBACD (rus operon)	Poor KEGG coverage	Essential (acidophiles)	No	Acidophilic FeOB (Acidithiobacillus, Leptospirillum). Note these are electron-transfer proteins rather than the oxidising enzyme itself. Some are proposed to run in reverse for Fe(III) reduction under anaerobic conditions.	FeGenie required
CO oxidizing (carboxydotroph)	CO (aerobic)	coxLMS (Mo-Cu CO dehydrogenase)	K03520, K03519, K03518	Essential	Yes	Form I vs Form II is decided by the AYXCSFR motif (Form I is the high-affinity type); the KO alone does not tell them apart.	Motif check
CO oxidizing (carboxydotroph)	CO (anaerobic)	cooS (Ni-Fe CO dehydrogenase)	K00198	Essential	Yes	Co-localised with acsB of the WL pathway. In the anaerobic type CO serves as both donor and carbon source (incorporated as the carbonyl group by ACS).	
Formate oxidizing	HCOO-	fdhF, fdoG (formate dehydrogenase)	K00123, K00122	Essential	Yes	A frequent alternative to H2. Presence of the gene does not guarantee growth, so cross-check against negative substrate lists in the literature.	
Formate oxidizing	HCOO-	fdhA, fdwA	Limited KEGG coverage	Alternative	Partial	Variant forms including tungsten-dependent enzymes.	
