Functional group	Electron acceptor	Gene / enzyme	KO	Priority	Detectable via KEGG	Degeneracy and caveats	Recommended tool
Aerobic respiration	O2	"coxABC (aa3-type, low affinity)"	K02274-K02276	Essential	Yes	The standard terminal oxidase. Its presence alone does not indicate a microaerobic lifestyle.	
Aerobic respiration	O2	"ccoNOQP (cbb3-type, high affinity)"	K00404-K00406	Essential (microaerobes)	Yes	"Strong signal of a microaerobic niche. Expected in circumneutral FeOB, Aquificota and Campylobacterota, which cannot tolerate full aeration."	
Aerobic respiration	O2	"cydAB (bd-type, high affinity)"	"K00425, K00426"	Essential (microaerobes)	Yes	"The other high-affinity oxidase; often present alongside cbb3. Also functions in oxidative stress defence, so presence alone is not proof of a microaerobic lifestyle."	
Aerobic respiration	O2 (as co-substrate)	"amoABC, pmoABC, mmoX, aerobic coxLMS"	"K10944-K10946, K16157, K03520"	Supporting	Yes	"In monooxygenase systems O2 is incorporated into the substrate, so it is a substrate before it is a terminal acceptor. When these are present, the regime is aerobic even if the paper states no acceptor."	
Nitrate-reducing (denitrifiers)	NO3-	narGHJI (cytoplasmic face)	K00370-K00374	Essential	Yes	"Most important degeneracy: shares K00370/K00371 with nxrAB (nitrite oxidation, the reverse reaction). Resolve by localisation signal (Tat), subunit composition and phylogenetic placement."	Phylogenetic placement required
Nitrate-reducing (denitrifiers)	NO3-	napAB (periplasmic face)	"K02567, K02568"	Alternative	Yes	"Periplasmic nitrate reductase; not degenerate with nxrAB, so its presence is cleaner evidence for the reductive direction."	
Nitrate-reducing (denitrifiers)	NO2-	nirK (Cu-type) / nirS (cd1-type)	K00368 / K15864	Essential	Yes	"The committed step of denitrification. The two types are functionally equivalent and mutually exclusive in most genomes, so screen for both."	
Nitrate-reducing (denitrifiers)	NO	norBC	"K04561, K02305"	Essential	Yes	Reduces NO to N2O. Absence with nirK/nirS present implies NO toxicity and is worth checking.	
Nitrate-reducing (denitrifiers)	N2O	nosZ	K00376	Essential (end-product call)	Yes	"Presence means denitrification runs to N2; absence means it stops at N2O. Strains with the same donor-acceptor pair differ in this gene, so never borrow it from another strain of the same species. N2O is a potent greenhouse gas, making this an ecologically important trait."	
Nitrate-reducing (DNRA)	NO2-	"nrfAH (periplasmic), nirBD (cytoplasmic)"	"K03385, K15876 / K00362, K00363"	Alternative	Yes	"Dissimilatory reduction of nitrite to ammonium, a branch point competing with denitrification. nrfA presence with nosZ absence distinguishes DNRA from truncated denitrification."	
