# habitat value of phenotype_data.tsv (HTML tags removed) -> environment class; reviewed 2026-09-18
# add a row for new habitat values (scripts/draft_habitat_classes.py drafts them); classes are listed in README
habitat	class	class_label	n_organisms	basis
a deep-sea hydrothermal vent chimney sample	vent	熱水噴出孔・海底熱水	1	single
active black smoker	vent	熱水噴出孔・海底熱水	1	single
Alvinella pompejana	vent	熱水噴出孔・海底熱水	1	single
Alvinella pompejana (a deep-sea hydrothermal vent polychaete)	vent	熱水噴出孔・海底熱水	1	single
Alvinella pompejana tubes, deep-sea hydrothermal vent	vent	熱水噴出孔・海底熱水	1	single
an in-situ colonization device deployed in hydrothermal fluid	vent	熱水噴出孔・海底熱水	1	single
biofilm-covered tube of Alvinella pompejana from a colonization device on the wall of an active chimney vent, 2621 m depth	vent	熱水噴出孔・海底熱水	1	single
Black smoker at the Kairei Field on the Central Indian Ridgem Indian Ocean	vent	熱水噴出孔・海底熱水	1	single
black smoker chimney sample, 2275 m depth	vent	熱水噴出孔・海底熱水	1	single
black smoker vent, depth of 2421 m	vent	熱水噴出孔・海底熱水	1	single
black smoker wall, 3500m depth	vent	熱水噴出孔・海底熱水	1	single
coastal hot spring	vent	熱水噴出孔・海底熱水	1	single
content of a vent cap	vent	熱水噴出孔・海底熱水	1	single
core sample from a deep sea hydrothermal vent	vent	熱水噴出孔・海底熱水	1	single
deep-sea actively venting hydrothermal sulfidic chimney	vent	熱水噴出孔・海底熱水	1	single
deep-sea hdyrothermal vent	vent	熱水噴出孔・海底熱水	1	single
deep-sea hydrothermal chimney	vent	熱水噴出孔・海底熱水	1	single
Deep-sea hydrothermal chimney collected from the Lucky Strike hydrothermal vent field on the Mid-Atlantic Ridge	vent	熱水噴出孔・海底熱水	1	single
deep-sea hydrothermal chimney sample, 2420m depth	vent	熱水噴出孔・海底熱水	1	single
Deep-sea hydrothermal chimney samples	vent	熱水噴出孔・海底熱水	1	single
deep-sea hydrothermal chimney, 1910 m depth	vent	熱水噴出孔・海底熱水	1	single
deep-sea hydrothermal field	vent	熱水噴出孔・海底熱水	1	single
deep-sea hydrothermal field at the bayonnaise knoll of the izu-ogasawara arc	vent	熱水噴出孔・海底熱水	1	single
deep-sea hydrothermal plume in the northwestern indian ocean	vent	熱水噴出孔・海底熱水	1	single
deep-sea hydrothermal sediments	vent	熱水噴出孔・海底熱水	1	single
deep-sea hydrothermal vent	vent	熱水噴出孔・海底熱水	4	single
deep-sea hydrothermal vent chimney	vent	熱水噴出孔・海底熱水	5	single
deep-sea hydrothermal vent chimney at the suiyo seamount in the western pacific ocean	vent	熱水噴出孔・海底熱水	1	single
deep-sea hydrothermal vent chimney, 3500 m depth	vent	熱水噴出孔・海底熱水	1	single
deep-sea hydrothermal vent chimney, depth of 2422 m	vent	熱水噴出孔・海底熱水	1	single
deep-sea hydrothermal vent in the mid-okinawa trough	vent	熱水噴出孔・海底熱水	1	single
Deep-sea hydrothermal vent on the East Pacific Rise	vent	熱水噴出孔・海底熱水	1	single
deep-sea hydrothermal vent polychaetes nest (Paralivinella sp.), 1604 m depth	vent	熱水噴出孔・海底熱水	1	single
deep-sea hydrothermal vent sulfides, 2000 m depth	vent	熱水噴出孔・海底熱水	1	single
deep-sea hydrothermal vent, 1385 m depth	vent	熱水噴出孔・海底熱水	1	single
deep-sea hydrothermal vents	vent	熱水噴出孔・海底熱水	1	single
deep-sea sulfide chimney of northwest indian ocean	vent	熱水噴出孔・海底熱水	1	single
diffuse-flow fluids on the east pacific rise	vent	熱水噴出孔・海底熱水	1	single
fragment of hydrothermal structure	vent	熱水噴出孔・海底熱水	1	single
fragment of hydrothermal structure, 4100 m depth	vent	熱水噴出孔・海底熱水	1	single
geothermal vent in yang-ming national park in northern taiwan	vent	熱水噴出孔・海底熱水	1	single
geothermally heated deep sea sediment	vent	熱水噴出孔・海底熱水	1	single
geothermally heated sea floor	vent	熱水噴出孔・海底熱水	1	single
hot springs in the deep ocean	vent	熱水噴出孔・海底熱水	1	single
hydrothermal chimney sample	vent	熱水噴出孔・海底熱水	1	single
hydrothermal deep sea vent, 3000 m depth	vent	熱水噴出孔・海底熱水	1	single
hydrothermal field chimney	vent	熱水噴出孔・海底熱水	1	single
hydrothermal sediments	vent	熱水噴出孔・海底熱水	1	single
hydrothermal sediments grown in hydrogenotrophic sulfate-reducing enrichment at 60 degrees Celsius	vent	熱水噴出孔・海底熱水	1	manual
hydrothermal sulfide chimney in the northwest indian ocean	vent	熱水噴出孔・海底熱水	1	single
hydrothermal systems at são miguel island	vent	熱水噴出孔・海底熱水	1	single
Hydrothermal vent	vent	熱水噴出孔・海底熱水	1	single
hydrothermal vent at the longqi system, southwestern indian ocean	vent	熱水噴出孔・海底熱水	1	single
hydrothermal vent chimney, 2600 m depth	vent	熱水噴出孔・海底熱水	1	single
hydrothermal vent chimney, 972 m depth	vent	熱水噴出孔・海底熱水	1	single
hydrothermal vent deposit, 2520 m depth	vent	熱水噴出孔・海底熱水	1	single
hydrothermal vent deposit, depth 1624 m	vent	熱水噴出孔・海底熱水	1	single
hydrothermal vent fluid, depth of 1520 m	vent	熱水噴出孔・海底熱水	1	single
hydrothermal vent, 2000 m depth	vent	熱水噴出孔・海底熱水	1	single
in situ colonization system deployed in a hydrothermal diffusing flow (maximum temperature of 78°C)	vent	熱水噴出孔・海底熱水	1	single
iron-rich microbial mats associated with a cool (23°C), diffuse vent site, 1325 m below the surface	vent	熱水噴出孔・海底熱水	1	single
juan de fuca ridge hydrothermal vent	vent	熱水噴出孔・海底熱水	1	single
low-temperature hydrothermal vent fluid	vent	熱水噴出孔・海底熱水	1	single
Marine hydrothermal area of Vulcano Island	vent	熱水噴出孔・海底熱水	1	single
marine hydrothermal system	vent	熱水噴出孔・海底熱水	1	single
marine sediment core of an undersea caldera	vent	熱水噴出孔・海底熱水	1	single
marine shallow-water hydrothermal vent	vent	熱水噴出孔・海底熱水	1	single
nests of tube-dwelling polychaetes adjacent to deep-sea hydrothermal vents	vent	熱水噴出孔・海底熱水	1	single
rock samples collected from a hydrothermal field	vent	熱水噴出孔・海底熱水	1	single
rock samples from a deep-sea hydrothermal field	vent	熱水噴出孔・海底熱水	1	single
rock samples from the wall of a black smoker, 3650 m depth	vent	熱水噴出孔・海底熱水	1	single
scrapings from outer tube of tubeworm from hydrothermal vent aerea, 2550 m depth	vent	熱水噴出孔・海底熱水	1	single
seawater sample near an active hydrothermal vent at 3454m depth	vent	熱水噴出孔・海底熱水	1	single
sediment from a submarine coastal gas vent	vent	熱水噴出孔・海底熱水	1	single
sediment of shallow-sea hydrothermal vent	vent	熱水噴出孔・海底熱水	1	single
sediment sample of submarine hydrothermal system	vent	熱水噴出孔・海底熱水	1	single
shallow marine hydrothermal system occurring in coral reefs off Taketomi Island	vent	熱水噴出孔・海底熱水	1	manual
submarine hot spring	vent	熱水噴出孔・海底熱水	1	single
submarine hydrothermal vent	vent	熱水噴出孔・海底熱水	2	single
submarine solfataric field	vent	熱水噴出孔・海底熱水	2	single
sulfide chimney fragments from an active deep-sea hydrothermal vent, depth 2500 m	vent	熱水噴出孔・海底熱水	1	single
sulfide chimney structure at the Yonaguni Knoll IV hydrothermal field	vent	熱水噴出孔・海底熱水	1	single
sulfide chimney structures covered by polychaete colonies	vent	熱水噴出孔・海底熱水	1	single
sulfide from a deep-sea chimney wall, depth of 2771 m	vent	熱水噴出孔・海底熱水	1	single
sulfide sample from a high-temperature hydrothermal vent	vent	熱水噴出孔・海底熱水	1	single
sulfidic thermal sea water	vent	熱水噴出孔・海底熱水	1	single
tube of the deep-sea hydrothermal vent polychaete Riftia pachyptila	vent	熱水噴出孔・海底熱水	1	single
wall of black smoker chimney	vent	熱水噴出孔・海底熱水	1	single
walls of an active deep-sea hydrothermal vent chimney	vent	熱水噴出孔・海底熱水	1	single
water and sediment from a shallow marine hydrothermal vent	vent	熱水噴出孔・海底熱水	1	single
water and sediment from a shallow, submarine hydrothermal vent	vent	熱水噴出孔・海底熱水	1	single
73C hot spring biofilm, pH 6.5	hotspring	温泉・地熱	1	single
A terrestrial hydrothermal pond 'Kuchonnyi' at Uzon Caldera	hotspring	温泉・地熱	1	single
acid-sulfate-chloride geothermal spring in norris geyser basin, ynp	hotspring	温泉・地熱	1	single
acidic geothermal mud spring in kamchatka, russia	hotspring	温泉・地熱	1	single
acidic high sulfide hot springs	hotspring	温泉・地熱	1	single
acidic hot spring	hotspring	温泉・地熱	1	single
acidic pool in a geothermal area	hotspring	温泉・地熱	1	single
anoxic geothermal ground-water	hotspring	温泉・地熱	1	single
Calcite Hot Spring in Yellowstone National Park	hotspring	温泉・地熱	1	single
clayish liquid sample of a hot spring	hotspring	温泉・地熱	1	single
Environment, Mud and water from hot spring	hotspring	温泉・地熱	1	single
ferric deposits of a terrestrial hydrothermal spring	hotspring	温泉・地熱	1	single
garga hot spring in the buryat republic (russia)	hotspring	温泉・地熱	1	single
geothermal aera	hotspring	温泉・地熱	1	single
