# KO configuration for ko_detector
# generated from: config/chemolithoautotroph_donor_acceptor_KO_reference.tsv
# Rows with an empty 'ko' are not searched; enter a KO to enable them.
ko	functional_group	substrate	gene_enzyme	priority	detectable_via_kegg	recommended_tool	caveats	ko_text	source
K17218	Sulfur oxidizing (SOB)	HS-	sqr (sulfide:quinone oxidoreductase)	Essential	Yes		Main route for sulfide oxidation. On its own, oxidation stops at S0.	K17218	chemolithoautotroph_donor_acceptor_KO_reference.tsv:2
K17229	Sulfur oxidizing (SOB)	HS-	fccAB (flavocytochrome c sulfide dehydrogenase)	Alternative	Yes		Alternative to sqr; some strains carry both.	K17229, K17230	chemolithoautotroph_donor_acceptor_KO_reference.tsv:3
K17230	Sulfur oxidizing (SOB)	HS-	fccAB (flavocytochrome c sulfide dehydrogenase)	Alternative	Yes		Alternative to sqr; some strains carry both.	K17229, K17230	chemolithoautotroph_donor_acceptor_KO_reference.tsv:3
K17222	Sulfur oxidizing (SOB)	S2O3 2-	soxABXYZ (+soxCD)	Essential	Yes		"A complete system (soxABCDXYZ) oxidises thiosulfate directly to sulfate without releasing S0. soxCD-deficient (K17225) strains accumulate extracellular S0, which can be cross-checked against wording such as ""oxidation ... to sulfate"" in the literature."	K17222-K17227	chemolithoautotroph_donor_acceptor_KO_reference.tsv:4
K17223	Sulfur oxidizing (SOB)	S2O3 2-	soxABXYZ (+soxCD)	Essential	Yes		"A complete system (soxABCDXYZ) oxidises thiosulfate directly to sulfate without releasing S0. soxCD-deficient (K17225) strains accumulate extracellular S0, which can be cross-checked against wording such as ""oxidation ... to sulfate"" in the literature."	K17222-K17227	chemolithoautotroph_donor_acceptor_KO_reference.tsv:4
K17224	Sulfur oxidizing (SOB)	S2O3 2-	soxABXYZ (+soxCD)	Essential	Yes		"A complete system (soxABCDXYZ) oxidises thiosulfate directly to sulfate without releasing S0. soxCD-deficient (K17225) strains accumulate extracellular S0, which can be cross-checked against wording such as ""oxidation ... to sulfate"" in the literature."	K17222-K17227	chemolithoautotroph_donor_acceptor_KO_reference.tsv:4
K17225	Sulfur oxidizing (SOB)	S2O3 2-	soxABXYZ (+soxCD)	Essential	Yes		"A complete system (soxABCDXYZ) oxidises thiosulfate directly to sulfate without releasing S0. soxCD-deficient (K17225) strains accumulate extracellular S0, which can be cross-checked against wording such as ""oxidation ... to sulfate"" in the literature."	K17222-K17227	chemolithoautotroph_donor_acceptor_KO_reference.tsv:4
K17226	Sulfur oxidizing (SOB)	S2O3 2-	soxABXYZ (+soxCD)	Essential	Yes		"A complete system (soxABCDXYZ) oxidises thiosulfate directly to sulfate without releasing S0. soxCD-deficient (K17225) strains accumulate extracellular S0, which can be cross-checked against wording such as ""oxidation ... to sulfate"" in the literature."	K17222-K17227	chemolithoautotroph_donor_acceptor_KO_reference.tsv:4
K17227	Sulfur oxidizing (SOB)	S2O3 2-	soxABXYZ (+soxCD)	Essential	Yes		"A complete system (soxABCDXYZ) oxidises thiosulfate directly to sulfate without releasing S0. soxCD-deficient (K17225) strains accumulate extracellular S0, which can be cross-checked against wording such as ""oxidation ... to sulfate"" in the literature."	K17222-K17227	chemolithoautotroph_donor_acceptor_KO_reference.tsv:4
K11180	Sulfur oxidizing (SOB)	S0	dsrAB (reverse-acting rDsr)	Essential	Yes	Phylogenetic placement required	Most important degeneracy: sulfate reduction (reductive type) and sulfur oxidation (reverse rDsr) share the same KO. Resolve by (1) placement in a dsrAB reference tree, (2) presence of dsrEFH (oxidative direction only), (3) QmoABC (reductive) vs AprM (oxidative).	K11180, K11181	chemolithoautotroph_donor_acceptor_KO_reference.tsv:5
K11181	Sulfur oxidizing (SOB)	S0	dsrAB (reverse-acting rDsr)	Essential	Yes	Phylogenetic placement required	Most important degeneracy: sulfate reduction (reductive type) and sulfur oxidation (reverse rDsr) share the same KO. Resolve by (1) placement in a dsrAB reference tree, (2) presence of dsrEFH (oxidative direction only), (3) QmoABC (reductive) vs AprM (oxidative).	K11180, K11181	chemolithoautotroph_donor_acceptor_KO_reference.tsv:5
	Sulfur oxidizing (SOB)	S0	dsrEFH	Essential (direction call)	Difficult		Retained only in the oxidative direction; the decisive evidence for calling dsrAB direction.	Poor KEGG coverage	chemolithoautotroph_donor_acceptor_KO_reference.tsv:6
K00394	Sulfur oxidizing (SOB)	SO3 2-	aprAB + sat	Supporting	Yes		Fully shared with sulfate reducers (degenerate). Apply the same criteria as for dsrAB.	K00394, K00395, K00958	chemolithoautotroph_donor_acceptor_KO_reference.tsv:7
